name,version,hash
python3-libdnf,0.55.2-6,17302b4ad474009c9ee0763380350b7f
libghc-dense-linear-algebra-doc,0.1.0.0-3,89b1eb268dcc848d49e3ec9c4a167114
libpam0g,1.4.0-9+deb11u1,b7057de6856c8bfe03abc33571989a98
claws-mail-multi-notifier,3.17.8-1+b1,7759c55673a2e0d948389e1381f0ef64
libghc-geniplate-mirror-doc,0.7.7-1,24035d1006153268911e7415d5af3da9
libjcdf-java-doc,1.2.3+dfsg-2,ba7e8efa800384c81a7f4c1e3ed82fa1
science-economics,1.14.2,12c896f8bf8b44b11858a19efd8bbf91
libreoffice-nlpsolver,0.9+LibO7.0.4-4+deb11u1,f0cdcd7720da7b7686da051154c20e0d
libmtdev1,1.1.6-1,e171ff69d24a96a961ca6816f184f8aa
thunderbird-l10n-be,1:78.14.0-1~deb11u1,8ebfabd89028ec7d17a5a88974abd192
liblsofui9,4:5.20.5-1,c34c5736e39cb0574070fc08b06a580f
libtime-y2038-perl,20100403-6,58cd84b1d54cca90581a9e96a893f9d1
libbencode-perl,1.501-1.1,cb0c0e1089ed28a6767b51d21c81eab7
libcglib-java-doc,3.2.12-1,ed7c200aa632b8f2a0553f2fd45dada0
repmgr,5.2.0-2,16efd4a2b85329a50e62213d6915adf5
freedroidrpg,0.16.1-6,0c7e1f44816a18ae4c43540095cef4c1
python3-flask-seeder,0.1~a2-2,d7b7638b853780be5077a58babdb6914
profphd-utils,1.0.10-6,a261afebc7bbbf5e022fb2c9ee9d3409
bibtexconv,0.8.20-1+b4,f7852a7ac7eefdddee77aebf7475a14a
ruby-kaminari-actionview,1.2.1-1,d1ae2ff0b0a7879420654278d198785a
libmath-utils-perl,1.14-1,368315283e4607874fdce24e9e70d970
gdc-9-multilib-sparc64-linux-gnu,9.3.0-22cross1,1c953681a079d787f0a1a16b5f32b772
libjsoup-java-doc,1.10.2-2,2b6791ba9ad86de8206a3d758d848cbe
libkaz1,1.21-2+b2,552dfd19b59ca4ec230aa970bbe84333
libponapi-client-perl,0.002012-1,195eac1d9749c170dfa1d26ed01b4be5
python3-progressbar,2.5-2,1838345bde2f92e21987ca7cc15f0157
stenographer,1.0.1-1+b6,b5d60c5bdeb8cbd463c6a9b8a6165b27
conntrackd,1:1.4.6-2,7a44025ce72647f4b26d5c35007b9c24
